train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2978802083333334,0.1566,2.2802085800292775,0.1573,2.271418311725409,0
1.928187890625,0.7961,1.681596830630074,0.7999,1.6758141056798137,1
1.663737890625,0.8219,1.6481972559572409,0.8862,1.5851959191953031,2
1.6325143229166668,0.8389,1.6283723850981495,0.9148,1.5560560809156765,3
1.6149869791666667,0.8446,1.6213209084428537,0.9373,1.5311122245301072,4
1.60386796875,0.8535,1.611166444449379,0.9465,1.5217269358162682,5
1.5957940104166666,0.8593,1.6043447633140004,0.9536,1.5129281846098244,6
1.5889811197916666,0.8636,1.6005064142397798,0.9591,1.5076968357585872,7
1.584070703125,0.8666,1.596629915907741,0.9618,1.5037264027915442,8
1.5798533854166668,0.8693,1.5938547316450662,0.9656,1.4995605423808478,9
1.5766811197916666,0.8693,1.5923779296417968,0.9664,1.4971974029327735,10
1.573611328125,0.8723,1.590739160300063,0.9689,1.4961540679962109,11
1.5715977864583333,0.8738,1.5893863066316793,0.97,1.4952100450619341,12
1.5694501302083332,0.8761,1.5866137784890855,0.9732,1.4916450459355364,13
1.5676938802083333,0.8753,1.5880812570309868,0.9697,1.4944751388348712,14
1.5202088541666667,0.9637,1.5021674438787345,0.9696,1.4969688116932829,15
1.500042578125,0.9666,1.4991028442169532,0.9718,1.4931519728499099,16
1.496315625,0.9653,1.4979998406510764,0.973,1.4910810108002002,17
1.493719140625,0.9717,1.4927778392554092,0.9737,1.4916047912817032,18
1.4916829427083333,0.9707,1.4936623116270802,0.9771,1.4865122420338397,19
1.490017578125,0.974,1.489875904287393,0.9763,1.4881866290546453,20
1.4884115885416667,0.9742,1.4897987355058566,0.9782,1.48627020185367,21
1.4871506510416668,0.9709,1.4934269064150678,0.9688,1.4972442053377437,22
1.485577734375,0.9736,1.4900776627726449,0.9774,1.4861994086743924,23
1.4850354166666666,0.9763,1.4875172723215608,0.9776,1.486005849731616,24
1.4841752604166667,0.9759,1.4870566529587816,0.9788,1.4840329862631167,25
1.4830975260416666,0.9764,1.4866709591100773,0.9788,1.4841911788946522,26
1.4823415364583334,0.9772,1.4856675410042175,0.9803,1.482483226651201,27
1.4816329427083332,0.9789,1.4842476460118643,0.9815,1.4818553768407803,28
1.4809194010416666,0.975,1.4867224232457317,0.9769,1.4846925099436847,29
1.4805045572916666,0.9792,1.4837966639393816,0.9824,1.4805876050894253,30
1.4797848958333333,0.9788,1.4838629808669654,0.9813,1.4813942197031869,31
1.479362890625,0.9795,1.4833909200784117,0.9802,1.4825807200453152,32
1.4789479166666666,0.9794,1.483037466058335,0.9821,1.480376645398978,33
1.4781459635416667,0.9781,1.484687267400967,0.9809,1.4816308726137057,34
1.4777493489583333,0.9803,1.4821320018067528,0.9821,1.4803037738647704,35
1.47739765625,0.9795,1.4836809444732177,0.983,1.4800208959335717,36
1.4769536458333334,0.9786,1.4831890633311897,0.979,1.48309020417186,37
1.476477734375,0.9804,1.4818480589900154,0.9811,1.4811018701559437,38
1.4761434895833334,0.9789,1.483093601065322,0.9811,1.4809630351325573,39
1.4757045572916667,0.9809,1.4815848357380388,0.9826,1.4799021059712663,40
1.4753100260416667,0.981,1.4815694265091381,0.9841,1.4784802689719885,41
1.47511875,0.981,1.481538010100587,0.9818,1.48062872124937,42
1.4746884114583334,0.9803,1.482104002477262,0.9837,1.47862536648211,43
1.47429453125,0.982,1.4803295470655156,0.983,1.4789581112206553,44
1.4738412760416666,0.9804,1.4821858984974627,0.9841,1.47819064448055,45
1.4738095052083333,0.9809,1.480950123585832,0.9812,1.4807620829286667,46
1.4735477864583333,0.9812,1.480599094884464,0.9823,1.4794229729868733,47
1.4732359375,0.9824,1.479661281878194,0.9835,1.4786619248862465,48
1.472951953125,0.983,1.4797166365023238,0.9851,1.477294891406172,49
1.4726282552083334,0.9824,1.480361433074878,0.9848,1.4776166132844675,50
1.4725169270833334,0.9819,1.4807816717190483,0.9837,1.4787286013460006,51
1.4721979166666668,0.9812,1.4805434420466803,0.9826,1.4789788334514387,52
1.4720834635416666,0.9821,1.4796872675990145,0.9841,1.4777044880504426,53
1.47174140625,0.983,1.478899959177255,0.9841,1.477865075531859,54
1.4714697916666666,0.9826,1.4792547149780078,0.9848,1.4771837361704427,55
1.471478125,0.9821,1.4797955416261959,0.9848,1.4772222342963417,56
1.4711615885416667,0.983,1.4790365303667208,0.9834,1.478707950336103,57
1.470922265625,0.9824,1.4796493068670693,0.984,1.4779644362842694,58
1.4710108072916668,0.984,1.4783845781899108,0.9857,1.476995205346007,59
1.4705872395833333,0.9836,1.478580351073902,0.9856,1.4766969277074162,60
1.4704731770833332,0.9837,1.4785933540271112,0.9839,1.4786442704855824,61
1.4701915364583333,0.9829,1.4791695637443958,0.9844,1.477605258694853,62
1.4698990885416667,0.9831,1.4788414076113472,0.9839,1.4778189457262667,63
1.4698225260416666,0.9811,1.4811423868416977,0.9823,1.47996176317477,64
1.46965234375,0.984,1.4777561011024938,0.9848,1.4768488909870672,65
1.469502734375,0.9855,1.4769880345073372,0.985,1.4772848119370092,66
1.4693483072916667,0.9847,1.4770998631041652,0.9853,1.4766504623638554,67
1.469310546875,0.9846,1.4771013126586572,0.986,1.475848704100417,68
1.46929453125,0.9842,1.4776375594611366,0.9851,1.4763334159272166,69
1.4689796875,0.983,1.4783089214239638,0.984,1.4774459238631277,70
1.4689015625,0.9851,1.4770433933209306,0.9863,1.4759944384090435,71
1.468764453125,0.9849,1.4768068291508734,0.9849,1.4770500637091006,72
1.468631640625,0.9838,1.478255004166795,0.9857,1.476507420357043,73
1.468558203125,0.9817,1.4798917850366415,0.9821,1.4792939291213647,74
1.4684239583333334,0.9847,1.4770088409082578,0.9855,1.4762668701025625,75
1.4683930989583334,0.9848,1.4767586042324956,0.9851,1.4764834101588582,76
1.4681760416666667,0.985,1.4769643274739908,0.9869,1.4750671664746806,77
1.4683388020833332,0.9854,1.4762582660863957,0.9863,1.475223761397048,78
1.4681526041666666,0.9843,1.4773887700547044,0.9858,1.4759111785279295,79
1.4680928385416667,0.9857,1.476349287139722,0.9872,1.4747835896647394,80
1.4678272135416666,0.9841,1.4773790802056797,0.9853,1.4762795184747861,81
1.4677375,0.9849,1.4768898106230715,0.986,1.475748634566895,82
1.4677541666666667,0.9856,1.476128360333915,0.987,1.4748223719124596,83
1.4676864583333333,0.985,1.4767803349814856,0.9858,1.4758807276003658,84
1.4676048177083334,0.9853,1.4769609865670006,0.9857,1.47635660841823,85
1.4675938802083333,0.9855,1.476788955755508,0.9863,1.475977420045164,86
1.4674154947916667,0.9862,1.4761038264527488,0.9868,1.4753450955064913,87
1.4673088541666666,0.9851,1.476574389317546,0.9863,1.4752241704410638,88
1.467327734375,0.9854,1.476339236996806,0.9861,1.4754670294709862,89
1.467200390625,0.9841,1.4773153264682515,0.9842,1.477409991974267,90
1.4672529947916666,0.9847,1.4768982257325047,0.9866,1.4749122301991375,91
1.467029296875,0.985,1.4766159910744372,0.9859,1.475704216728576,92
1.4669236979166667,0.9861,1.4758205360497911,0.9869,1.4750672095119002,93
1.4668510416666667,0.9853,1.4764627808580002,0.9857,1.4761081366493298,94
1.4668813802083334,0.9856,1.4761932459883034,0.9867,1.4750070320531583,95
1.4667549479166666,0.9852,1.4765258840859508,0.9857,1.4759604888983047,96
1.4667296875,0.9859,1.476000021060054,0.9864,1.4754244553776215,97
1.4667766927083334,0.984,1.4771799618443742,0.9852,1.4760634308805862,98
1.4665216145833333,0.9855,1.4763972843036104,0.9866,1.4752518475626986,99
